ÏïµÀ±àºÅ	ÏïµÀ³äÂúË®Ê±¿Ì£¨·ÖÖÓ£©
H0000	
H0001	
H0002	
H0003	
H0004	
H0005	
H0006	
H0007	
H0008	
H0009	152094.2078
H0010	280702.9503
H0011	
H0012	
H0013	
H0014	
H0015	
H0016	
H0017	
H0018	
H0019	
H0020	18079600.4773
H0021	
H0022	
H0023	
H0024	
H0025	
H0026	
H0027	
H0028	1545861.1371
H0029	
H0030	
H0031	
H0032	69700200.6894
H0033	
H0034	
H0035	
H0036	
H0037	
H0038	
H0039	
H0040	
H0041	
H0042	
H0043	
H0044	
H0045	
H0046	
H0047	
H0048	
H0049	
H0050	
H0051	
H0052	
H0053	
H0054	
H0055	
H0056	
H0057	
H0058	
H0059	
H0060	
H0061	
H0062	
H0063	
H0064	
H0065	
H0066	
H0067	
H0068	
H0069	595753949.7158
H0070	9390388.5539
H0071	
H0072	
H0073	
H0074	45037.4686
H0075	
H0076	
H0077	
H0078	
H0079	
H0080	
H0081	721584.5054
H0082	
H0083	
H0084	280098.2904
H0085	851074.2835
H0086	
H0087	
H0088	
H0089	
H0090	
H0091	
H0092	
H0093	
H0094	
H0095	2413826.5815
H0096	
H0097	
H0098	
H0099	
H0100	
H0101	22006.2781
H0102	
H0103	
H0104	
H0105	
H0106	
H0107	12634.6557
H0108	9046.6588
H0109	
H0110	
H0111	
H0112	
H0113	
H0114	
H0115	
H0116	
H0117	
H0118	
H0119	
H0120	16203.3754
H0121	
H0122	
H0123	
H0124	
H0125	
H0126	
H0127	
H0128	
H0129	71961.5737
H0130	
H0131	
H0132	
H0133	
H0134	
H0135	
H0136	
H0137	
H0138	
H0139	
H0140	
H0141	
H0142	
H0143	
H0144	
H0145	
H0146	
H0147	
H0148	
H0149	
H0150	
H0151	
H0152	
H0153	
H0154	
H0155	
H0156	
H0157	
H0158	
H0159	
H0160	
H0161	
H0162	1064673.8232
H0163	200321.1304
H0164	176904.1499
H0165	
H0166	
H0167	
H0168	1118730557.4806
H0169	
H0170	
H0171	
H0172	
H0173	
H0174	
H0175	
H0176	81783.2186
H0177	106222.9266
H0178	
H0179	659736.4599
H0180	150283.0884
H0181	
H0182	
H0183	22959.1209
H0184	11196.8023
H0185	
H0186	34800.9894
H0187	
H0188	
H0189	34544.2607
H0190	156754.7989
H0191	297307.5362
H0192	523475.9697
H0193	
H0194	
H0195	
H0196	
H0197	
H0198	
H0199	
H0200	
H0201	
H0202	
H0203	
H0204	
H0205	
H0206	
H0207	
H0208	
H0209	
H0210	
H0211	
H0212	
H0213	
H0214	
H0215	
H0216	
H0217	
H0218	
H0219	
H0220	
H0221	
H0222	
H0223	
H0224	
H0225	
H0226	
H0227	
H0228	
H0229	
H0230	
H0231	
H0232	
H0233	
H0234	11715185.1981
H0235	1116922.9994
H0236	
H0237	22574162.4847
H0238	
H0239	
H0240	
H0241	
H0242	
H0243	
H0244	
H0245	
H0246	
H0247	
H0248	
H0249	
H0250	
H0251	
H0252	
H0253	
H0254	
H0255	
H0256	
H0257	
H0258	
H0259	
H0260	
H0261	
H0262	
H0263	
H0264	
H0265	
H0266	
H0267	
H0268	
H0269	
H0270	
H0271	
H0272	
H0273	
H0274	
H0275	
H0276	
H0277	
H0278	
H0279	
H0280	
H0281	
H0282	
H0283	
H0284	
H0285	
H0286	
H0287	
H0288	
H0289	
H0290	
H0291	
H0292	
H0293	
H0294	
H0295	
H0296	
H0297	
H0298	
H0299	
H0300	
H0301	
H0302	
H0303	
H0304	
H0305	
H0306	
H0307	
H0308	
H0309	
H0310	
H0311	
H0312	
H0313	
H0314	482670.0948
H0315	
H0316	
H0317	
H0318	
H0319	
H0320	
H0321	
H0322	
H0323	
H0324	
H0325	
H0326	
H0327	
H0328	
H0329	
H0330	
H0331	
H0332	
H0333	
H0334	
H0335	
H0336	
H0337	
H0338	
H0339	
H0340	
H0341	
H0342	
H0343	
H0344	
H0345	
H0346	
H0347	
H0348	
H0349	
H0350	
