端点编号	水流到达时刻（分钟）
P0000	0.0399
P0001	0.0896
P0002	97.7550
P0003	163.7126
P0004	175.8884
P0005	0.9796
P0006	0.4784
P0007	1.2417
P0008	0.6812
P0009	0.9149
P0010	2.5054
P0011	2.5406
P0012	2.5974
P0013	2.7773
P0014	2.0658
P0015	1.9683
P0016	1.9194
P0017	1.8569
P0018	1.4572
P0019	0.1944
P0020	0.9290
P0021	1.2752
P0022	1.7102
P0023	0.6039
P0024	2.3890
P0025	108.0937
P0026	100.2464
P0027	0.8185
P0028	0.8490
P0029	0.1505
P0030	2.0553
P0031	0.9117
P0032	1.3909
P0033	46.0220
P0034	50.7238
P0035	19.0697
P0036	30.1354
P0037	70.6967
P0038	163.6049
P0039	117.5907
P0040	87.7800
P0041	110.9146
P0042	114.5333
P0043	83.4420
P0044	55.6419
P0045	144.8032
P0046	92.8861
P0047	46.0979
P0048	62.6631
P0049	36.4881
P0050	0.4616
P0051	0.5910
P0052	0.1147
P0053	0.4020
P0054	0.6072
P0055	0.6408
P0056	0.2896
P0057	0.5818
P0058	1.4126
P0059	28.9653
P0060	34.8490
P0061	25.4781
P0062	35.9675
P0063	3.8672
P0064	2.0135
P0065	1.3495
P0066	4.4521
P0067	13.7012
P0068	20.7761
P0069	21.3749
P0070	10.2110
P0071	2.0951
P0072	2.2493
P0073	2.5705
P0074	3.0245
P0075	73.4206
P0076	41.2644
P0077	30.7449
P0078	1163.6039
P0079	1137.0582
P0080	1176.3745
P0081	1253.5403
P0082	1845.8291
P0083	1297.1451
P0084	205.4691
P0085	128.9806
P0086	0.4590
P0087	0.9025
P0088	1.8089
P0089	2.9315
P0090	4.2398
P0091	8.7199
P0092	4.6821
P0093	8.1804
P0094	12.3161
P0095	11.0918
P0096	13.1334
P0097	15.9353
P0098	15.6503
P0099	5.5163
P0100	2.0330
P0101	4.9538
P0102	3.7854
P0103	1.1662
P0104	6.6761
P0105	3.1956
P0106	8.4608
P0107	7.3280
P0108	234.3531
P0109	300.6771
P0110	258.2678
P0111	250.7393
P0112	124.7371
P0113	263.9628
P0114	1.4827
P0115	1.1731
P0116	14.2534
P0117	21.7653
P0118	5.2251
P0119	0.2848
P0120	0.1471
P0121	0.9439
P0122	2.0316
P0123	1.6855
P0124	2.0866
P0125	1.0643
P0126	0.3003
P0127	0.0442
P0128	0.0272
P0129	0.0372
P0130	289.6540
P0131	352.5915
P0132	359.3014
P0133	3.9813
P0134	1.4312
P0135	2.7625
P0136	7.7835
P0137	0.5050
P0138	0.7435
P0139	0.1903
P0140	0.2488
P0141	0.4782
P0142	0.0753
P0143	1.4341
P0144	3.2037
P0145	5.3331
P0146	30.7274
P0147	64.3050
P0148	34.4185
P0149	28.0073
P0150	66.1462
P0151	62.4759
P0152	41.7661
P0153	67.9923
P0154	7.3641
P0155	12.3215
P0156	7.6535
P0157	35.5444
P0158	21.6436
P0159	27.1745
P0160	39.9757
P0161	11.3222
P0162	13.2953
P0163	15.3003
P0164	18.7748
P0165	17.8013
P0166	61.6676
P0167	32.3259
P0168	70.2645
P0169	42.0044
P0170	15.1394
P0171	25.2259
P0172	31.1437
P0173	22.3987
P0174	17.7216
P0175	12.1546
P0176	4.3181
P0177	6.9115
P0178	20.5071
P0179	1827.8717
P0180	1535.6832
P0181	5.0667
P0182	5.6845
P0183	3.6629
P0184	9.1695
P0185	3.8389
P0186	12.3802
P0187	8.5915
P0188	24.5027
P0189	12.8561
P0190	20.8144
P0191	79.6336
P0192	11.4116
P0193	16.9121
P0194	37.5828
P0195	5.1977
P0196	3.6130
